Date,Passage1,Passage2,Passage3,Passage4,Passage5
2024-01-01,Gen 1, Mat 1, Ezr 1, Acts 1,
2024-01-02,Gen 2, Mat 2, Ezr 2, Acts 2,
2024-01-03,Gen 3, Mat 3, Ezr 3, Acts 3,
2024-01-04,Gen 4, Mat 4, Ezr 4, Acts 4,
2024-01-05,Gen 5, Mat 5, Ezr 5, Acts 5,
2024-01-06,Gen 6, Mat 6, Ezr 6, Acts 6,
2024-01-07,Gen 7, Mat 7, Ezr 7, Acts 7,
2024-01-08,Gen 8, Mat 8, Ezr 8, Acts 8,
2024-01-09,Gen 9, Mat 9-10, Ezr 9, Acts 9-10,
2024-01-10,Gen 10-11, Mat 11, Ezr 10, Acts 11,
2024-01-11,Gen 12, Mat 12, Neh 1, Acts 12,
2024-01-12,Gen 13, Mat 13, Neh 2, Acts 13,
2024-01-13,Gen 14, Mat 14, Neh 3, Acts 14,
2024-01-14,Gen 15, Mat 15, Neh 4, Acts 15,
2024-01-15,Gen 16, Mat 16, Neh 5, Acts 16,
2024-01-16,Gen 17, Mat 17, Neh 6, Acts 17,
2024-01-17,Gen 18, Mat 18-19, Neh 7, Acts 18-19,
2024-01-18,Gen 19, Mat 20, Neh 8, Acts 20,
2024-01-19,Gen 20, Mat 21, Neh 9, Acts 21,
2024-01-20,Gen 21-22, Mat 22, Neh 10, Acts 22,
2024-01-21,Gen 23, Mat 23, Neh 11, Acts 23,
2024-01-22,Gen 24, Mat 24, Neh 12, Acts 24,
2024-01-23,Gen 25, Mat 25, Neh 13, Acts 25,
2024-01-24,Gen 26, Mat 26, Est 1, Acts 26,
2024-01-25,Gen 27, Mat 27-28, Est 2, Acts 27-28,
2024-01-26,Gen 28, Mk 1, Est 3, Rom 1,
2024-01-27,Gen 29, Mk 2, Est 4, Rom 2,
2024-01-28,Gen 30, Mk 3, Est 5, Rom 3,
2024-01-29,Gen 31, Mk 4, Est 6, Rom 4,
2024-01-30,Gen 32-33, Mk 5, Est 7, Rom 5,
2024-01-31,Gen 34, Mk 6, Est 8, Rom 6,
2024-02-01,Gen 35, Mk 7, Est 9, Rom 7,
2024-02-02,Gen 36, Mk 8, Est 10, Rom 8,
2024-02-03,Gen 37, Mk 9-10, Job 1, Rom 9-10,
2024-02-04,Gen 38, Mk 11, Job 2, Rom 11,
2024-02-05,Gen 39, Mk 12, Job 3, Rom 12,
2024-02-06,Gen 40, Mk 13, Job 4-5, Rom 13,
2024-02-07,Gen 41, Mk 14, Job 6, Rom 14,
2024-02-08,Gen 42, Mk 15, Job 7, Rom 15,
2024-02-09,Gen 43-44, Mk 16, Job 8, Rom 16,
2024-02-10,Gen 45, Luk 1, Job 9, 1 Co 1,
2024-02-11,Gen 46, Luk 2-3, Job 10, 1 Co 2-3,
2024-02-12,Gen 47, Luk 4, Job 11, 1 Co 4,
2024-02-13,Gen 48, Luk 5, Job 12, 1 Co 5,
2024-02-14,Gen 49, Luk 6, Job 13, 1 Co 6,
2024-02-15,Gen 50, Luk 7, Job 14, 1 Co 7,
2024-02-16,Ex 1, Luk 8, Job 15, 1 Co 8,
2024-02-17,Ex 2, Luk 9, Job 16, 1 Co 9,
2024-02-18,Ex 3, Luk 10, Job 17, 1 Co 10,
2024-02-19,Ex 4-5, Luk 11-12, Job 18, 1 Co 11-12,
2024-02-20,Ex 6, Luk 13, Job 19, 1 Co 13,
2024-02-21,Ex 7, Luk 14, Job 20, 1 Co 14,
2024-02-22,Ex 8, Luk 15, Job 21, 1 Co 15,
2024-02-23,Ex 9, Luk 16, Job 22, 1 Co 16,
2024-02-24,Ex 10, Luk 17, Job 23, 2 Co 1,
2024-02-25,Ex 11, Luk 18, Job 24, 2 Co 2,
2024-02-26,Ex 12, Luk 19, Job 25, 2 Co 3,
2024-02-27,Ex 13, Luk 20, Job 26, 2 Co 4,
2024-02-28,Ex 14, Luk 21-22, Job 27, 2 Co 5-6,
2024-02-29,Ex 15-16, Luk 23, Job 28, 2 Co 7,
2024-03-01,Ex 17, Luk 24, Job 29, 2 Co 8,
2024-03-02,Ex 18, John 1, Job 30, 2 Co 9,
2024-03-03,Ex 19, John 2, Job 31, 2 Co 10,
2024-03-04,Ex 20, John 3, Job 32, 2 Co 11,
2024-03-05,Ex 21, John 4, Job 33, 2 Co 12,
2024-03-06,Ex 22, John 5, Job 34, 2 Co 13,
2024-03-07,Ex 23, John 6-7, Job 35, Gal 1-2,
2024-03-08,Ex 24, John 8, Job 36, Gal 3,
2024-03-09,Ex 25, John 9, Job 37, Gal 4,
2024-03-10,Ex 26-27, John 10, Job 38, Gal 5,
2024-03-11,Ex 28, John 11, Job 39, Gal 6,
2024-03-12,Ex 29, John 12, Job 40, Eph 1,
2024-03-13,Ex 30, John 13, Job 41, Eph 2,
2024-03-14,Ex 31, John 14, Job 42, Pro 1, Eph 3
2024-03-15,Ex 32, John 15-16, Pro 2, Eph 4-5,
2024-03-16,Ex 33, John 17, Pro 3, Eph 6,
2024-03-17,Ex 34, John 18, Pro 4, Phil 1,
2024-03-18,Ex 35, John 19, Pro 5, Phil 2,
2024-03-19,Ex 36, John 20, Pro 6, Phil 3,
2024-03-20,Ex 37-38, John 21, Pro 7, Phil 4,
2024-03-21,Ex 39, Ps 1, Pro 8, Col 1,
2024-03-22,Ex 40, Ps 2, Pro 9, Col 2,
2024-03-23,Lev 1, Ps 3, Pro 10, Col 3,
2024-03-24,Lev 2, Ps 4-5, Pro 11, Col 4, 1 Th 1
2024-03-25,Lev 3, Ps 6, Pro 12, 1 Th 2,
2024-03-26,Lev 4, Ps 7, Pro 13, 1 Th 3,
2024-03-27,Lev 5, Ps 8, Pro 14, 1 Th 4,
2024-03-28,Lev 6, Ps 9, Pro 15, 1 Th 5,
2024-03-29,Lev 7, Ps 10, Pro 16, 2 Th 1,
2024-03-30,Lev 8-9, Ps 11, Pro 17, 2 Th 2,
2024-03-31,Lev 10, Ps 12, Pro 18, 2 Th 3,
2024-04-01,Lev 11, Ps 13-14, Pro 19, 1 Ti 1-2,
2024-04-02,Lev 12, Ps 15, Pro 20, 1 Ti 3,
2024-04-03,Lev 13, Ps 16, Pro 21, 1 Ti 4,
2024-04-04,Lev 14, Ps 17, Pro 22, 1 Ti 5,
2024-04-05,Lev 15, Ps 18, Pro 23, 1 Ti 6,
2024-04-06,Lev 16, Ps 19, Pro 24, 2 Ti 1,
2024-04-07,Lev 17, Ps 20, Pro 25, 2 Ti 2,
2024-04-08,Lev 18-19, Ps 21, Pro 26, 2 Ti 3,
2024-04-09,Lev 20, Ps 22-23, Pro 27, 2 Ti 4, Tit 1
2024-04-10,Lev 21, Ps 24, Pro 28, Tit 2,
2024-04-11,Lev 22, Ps 25, Pro 29, Tit 3,
2024-04-12,Lev 23, Ps 26, Pro 30, Phlm,
2024-04-13,Lev 24, Ps 27, Pro 31, Heb 1,
2024-04-14,Lev 25, Ps 28, Ecc 1, Heb 2,
2024-04-15,Lev 26, Ps 29, Ecc 2, Heb 3,
2024-04-16,Lev 27, Ps 30, Ecc 3, Heb 4,
2024-04-17,Num 1, Ps 31, Ecc 4, Heb 5,
2024-04-18,Num 2-3, Ps 32-33, Ecc 5, Heb 6-7,
2024-04-19,Num 4, Ps 34, Ecc 6-7, Heb 8,
2024-04-20,Num 5, Ps 35, Ecc 8, Heb 9,
2024-04-21,Num 6, Ps 36, Ecc 9, Heb 10,
2024-04-22,Num 7, Ps 37, Ecc 10, Heb 11,
2024-04-23,Num 8, Ps 38, Ecc 11, Heb 12,
2024-04-24,Num 9, Ps 39, Ecc 12, Heb 13,
2024-04-25,Num 10, Ps 40, Sos 1, Jam 1,
2024-04-26,Num 11, Ps 41-42, Sos 2, Jam 2-3,
2024-04-27,Num 12, Ps 43, Sos 3, Jam 4,
2024-04-28,Num 13-14, Ps 44, Sos 4, Jam 5,
2024-04-29,Num 15, Ps 45, Sos 5, 1 Pe 1,
2024-04-30,Num 16, Ps 46, Sos 6, 1 Pe 2,
2024-05-01,Num 17, Ps 47, Sos 7, 1 Pe 3,
2024-05-02,Num 18, Ps 48, Sos 8, 1 Pe 4,
2024-05-03,Num 19, Ps 49, Isa 1, 1 Pe 5,
